Entity,Code,Year,Annual CO₂ emissions,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Austria,AUT,2013,67766776.0,14.719604,5.2184405,1.6009566,8.064531,107.45964,0.0,82.00461,38.13149,145.6488
Austria,AUT,2014,64165824.0,14.254726,5.15734,1.9980814,9.785669,104.34411,0.0,75.10976,35.021385,141.40121
Austria,AUT,2015,66357460.0,14.570719,5.3529215,2.3724,12.254032,94.06801,0.0,79.68095,37.999046,142.84538
Austria,AUT,2016,67217290.0,14.986004,5.365529,2.7538092,13.152861,100.4305,0.0,83.4219,35.44773,146.15495
Austria,AUT,2017,69598480.0,15.416996,5.3517137,3.1724274,16.428778,95.734375,0.0,90.69854,36.564552,146.42876
Austria,AUT,2018,66561692.0,15.447946,5.170676,3.6197312,15.001068,93.62664,0.0,86.869194,32.28496,148.91289
Austria,AUT,2019,67945990.0,14.588332,5.1673193,4.2131014,18.440783,101.054375,0.0,89.00441,33.944683,153.20105
Austria,AUT,2020,62175724.0,14.378555,4.6218066,5.0442815,16.76921,103.698845,0.0,85.272484,29.031855,133.02937
Austria,AUT,2021,65757468.0,13.999028,4.846935,6.8322787,16.60109,95.78747,0.0,90.1544,30.161827,140.2148
Austria,AUT,2022,61489110.0,14.864737,4.6048346,9.293629,17.792751,85.07398,0.0,79.12825,28.861195,135.03087
Austria,AUT,2023,58578050.0,14.244397,5.405355,15.5971,19.601719,99.201546,0.0,68.81278,27.944517,134.10497
Belgium,BEL,2013,102761550.0,15.7575,3.9976027,6.7519183,9.373402,0.97186697,109.06394,165.33,40.907597,345.84137
Belgium,BEL,2014,97033590.0,13.808438,4.801479,7.344529,11.743766,0.74351144,85.75826,144.63,39.672768,338.91125
Belgium,BEL,2015,101275020.0,17.202188,2.9996233,7.737974,14.111392,0.80607593,66.08354,158.499,38.740704,348.06155
Belgium,BEL,2016,99741550.0,16.8025,5.0530906,7.777387,13.616834,0.9296482,109.35427,161.892,36.819427,352.99054
Belgium,BEL,2017,99192030.0,17.833126,5.453738,8.27,16.30175,0.67525,105.56699,164.115,36.070087,357.47388
Belgium,BEL,2018,100158580.0,16.914062,5.4024725,9.710199,18.841043,0.7271144,71.13682,168.741,35.873142,383.168
Belgium,BEL,2019,99684190.0,16.141874,5.4199514,10.525742,24.147028,0.7475247,107.73168,173.86897,35.923416,358.85614
Belgium,BEL,2020,91228270.0,16.445312,7.5232778,12.623951,31.650864,0.6590124,85.02395,169.9818,27.843174,307.18332
Belgium,BEL,2021,94886104.0,14.696876,8.30668,13.849015,29.55074,1.029803,123.95616,169.60623,30.779343,341.012
Belgium,BEL,2022,89002056.0,15.393437,8.616907,16.901228,30.350368,0.6660934,107.81106,145.53444,32.082714,331.8721
Belgium,BEL,2023,83368480.0,11.882501,8.721672,19.073172,37.66805,0.9917073,80.31195,137.61,27.779953,320.74048
Bulgaria,BGR,2013,42726228.0,0.34910312,1.2684381,3.5600688,3.5128186,10.322603,36.242966,27.543999,69.12558,44.21495
Bulgaria,BGR,2014,45251496.0,0.627475,1.2606628,3.1975853,3.3856921,11.708979,40.374043,27.3615,73.85166,47.711754
Bulgaria,BGR,2015,48203840.0,0.8443281,1.6672177,3.497876,3.6747115,14.315296,38.944305,30.0035,76.23653,53.301296
Bulgaria,BGR,2016,45419316.0,1.1050438,1.8596619,3.487412,3.5803268,9.748346,39.63819,31.2505,66.22471,54.210262
Bulgaria,BGR,2017,47520536.0,1.2374407,1.8938253,3.5074248,3.76016,7.0702577,38.863747,32.1365,71.00035,56.917366
Bulgaria,BGR,2018,43576950.0,4.9155188,1.8687884,3.3402686,3.2789128,12.802432,40.112637,30.229252,63.443558,56.655537
Bulgaria,BGR,2019,42267464.0,5.6900344,2.0498633,3.5081336,3.2598712,7.2512345,40.978436,28.30875,59.157578,59.417183
Bulgaria,BGR,2020,36644240.0,5.310441,1.9733294,3.6264691,3.647237,6.963946,41.05127,29.2065,48.34248,53.383244
Bulgaria,BGR,2021,42425090.0,8.090287,1.9701633,3.6123106,3.5309384,11.869963,40.608116,33.02,60.952377,56.07793
Bulgaria,BGR,2022,46965720.0,7.011231,2.1624696,5.144565,3.6833537,9.344666,40.447216,27.0345,72.62215,59.941475
Bulgaria,BGR,2023,36093596.0,5.856256,2.0185945,8.587095,3.8630538,7.512517,39.422626,25.26,42.945473,59.370625
Croatia,HRV,2013,18406078.0,0.3927969,0.36592776,0.028856777,1.3229847,22.050385,0.0,26.537943,7.8520527,35.97752
Croatia,HRV,2014,17657192.0,0.51430625,0.34271112,0.08950128,1.85743,22.916334,0.0,23.485712,7.5210743,37.662575
Croatia,HRV,2015,17803006.0,0.82869065,0.28104442,0.14497215,2.0159366,16.178825,0.0,24.21231,7.0444655,39.127132
Croatia,HRV,2016,18089980.0,1.3482,0.011766667,0.16467588,2.5483618,17.21633,0.0,25.243534,7.5709324,39.293175
Croatia,HRV,2017,18719100.0,1.6425,0.0063444446,0.19675,3.01,13.2685,0.0,28.99667,4.5628443,42.001553
Croatia,HRV,2018,17702566.0,2.0940623,0.31485555,0.18631841,3.3218904,19.156467,0.0,26.658365,4.248253,40.695423
Croatia,HRV,2019,17830288.0,3.0321875,0.72754997,0.20569305,3.6319306,14.421039,0.0,27.981422,4.8999634,39.723515
Croatia,HRV,2020,16881604.0,3.3500001,0.76273394,0.23580247,4.248642,13.981234,0.0,29.368093,4.200651,34.046947
Croatia,HRV,2021,17410670.0,3.7171874,1.0633531,0.36674878,5.0783253,17.555912,0.0,28.251804,4.830358,35.994972
Croatia,HRV,2022,17608212.0,3.7546878,0.24692945,0.37321866,5.2525797,13.414496,0.0,24.805115,4.7274556,39.39885
Croatia,HRV,2023,17524080.0,3.3346877,0.0073088887,1.007561,6.3085365,19.903658,0.0,25.001438,4.0195723,43.714005
Czechia,CZE,2013,106722490.0,12.689707,3.2181668,5.1986036,1.2289488,6.993624,78.632484,80.78675,196.50452,102.03872
Czechia,CZE,2014,104246040.0,14.573227,3.6782172,5.413072,1.2125815,4.859446,77.16253,71.898,190.43584,107.97657
Czechia,CZE,2015,105000920.0,14.975127,3.442897,5.7399592,1.4496495,4.5452833,67.95151,75.3945,189.86116,104.87653
Czechia,CZE,2016,106648410.0,14.895516,3.4977777,5.3623543,1.2486441,5.028867,60.56337,81.599754,191.26581,98.47254
Czechia,CZE,2017,107745840.0,15.5143,3.6448889,5.4922705,1.4775958,4.673835,70.84894,83.74775,187.27791,115.295975
Czechia,CZE,2018,106335550.0,15.081811,3.585,5.8248587,1.5157455,4.048553,74.43112,79.828255,186.01262,116.113846
Czechia,CZE,2019,101008820.0,15.720797,3.9525554,5.6627555,1.7327573,4.9719667,74.86685,83.249504,167.36311,117.60352
Czechia,CZE,2020,91673770.0,16.29058,4.325722,5.5241203,1.7261322,5.294457,74.18094,84.62375,145.43529,102.484436
Czechia,CZE,2021,96645176.0,16.824892,4.1963334,5.3010306,1.4816604,5.936538,75.692566,90.69425,150.68779,112.96381
Czechia,CZE,2022,95107760.0,16.888262,3.7037222,6.115771,1.5758244,5.1625667,76.220665,73.764496,154.26149,108.5069
Czechia,CZE,2023,85624184.0,16.217936,3.494611,7.053818,1.7113194,5.763361,74.17186,66.975,125.10364,107.82444
Denmark,DNK,2013,41755340.0,13.479696,2.4936206,1.3236359,28.448273,0.03432083,0.0,38.297825,37.670876,87.70778
Denmark,DNK,2014,37564830.0,13.44329,2.5934002,1.5153096,33.278633,0.038429458,0.0,32.894382,29.857864,87.40029
Denmark,DNK,2015,35102396.0,13.126962,2.5705178,1.5297749,35.77998,0.045646977,0.0,33.092525,21.238245,88.9282
Denmark,DNK,2016,36905584.0,15.141381,2.5890577,1.8687954,32.114902,0.04842267,0.0,33.65253,24.577398,89.05559
Denmark,DNK,2017,34652480.0,19.526745,2.6198967,1.8787153,36.949997,0.044680554,0.0,32.161003,18.368778,88.506584
Denmark,DNK,2018,34601704.0,18.406534,2.5907989,2.3705795,34.581978,0.036967937,0.0,31.208899,18.772844,89.401
Denmark,DNK,2019,30941816.0,18.572332,3.5123658,2.3843303,39.974834,0.04196782,0.0,28.980944,10.575361,109.60725
Denmark,DNK,2020,28294042.0,18.497053,3.7602165,2.9148939,40.321514,0.04213333,0.0,23.153778,9.309925,91.01435
Denmark,DNK,2021,29587502.0,27.244642,3.140554,3.223963,39.543022,0.040133007,0.0,23.80002,12.399528,79.201904
Denmark,DNK,2022,28431534.0,22.728416,2.8142953,5.4117126,46.73769,0.036717445,0.0,17.05721,12.180117,83.58491
Denmark,DNK,2023,27264778.0,20.115046,2.5875134,8.203117,47.30047,0.04787317,0.0,16.209583,7.758211,88.93036
Finland,FIN,2013,51719000.0,37.534134,2.3559444,0.016501278,1.9787519,32.835297,60.3734,29.706667,58.04139,114.501656
Finland,FIN,2014,47622000.0,36.745785,5.044833,0.01972519,2.8172314,34.08917,60.0,26.556667,52.024723,108.04683
Finland,FIN,2015,44192000.0,35.68549,5.0423336,0.028635442,5.892048,42.452396,58.848103,22.878613,44.405003,108.589935
Finland,FIN,2016,47251000.0,36.00851,1.8310556,0.055442214,7.708646,39.696297,58.298992,20.076668,50.921112,114.29884
Finland,FIN,2017,44657000.0,37.067303,4.036222,0.121282496,11.987979,36.928673,56.192497,18.324167,46.645557,110.74291
Finland,FIN,2018,45734000.0,40.34445,3.8416667,0.2244403,14.524049,33.087322,56.699,21.012777,48.88139,110.148224
Finland,FIN,2019,42442000.0,41.53768,4.451611,0.36431187,14.912737,30.74375,59.08416,20.348055,41.046947,109.32647
Finland,FIN,2020,37700000.0,36.15579,4.1245,0.53943455,20.384386,39.218124,57.508644,20.718056,31.42889,98.07789
Finland,FIN,2021,37798000.0,42.43477,7.2632456,0.7328029,20.952547,38.89441,58.123154,20.716112,33.982224,91.65651
Finland,FIN,2022,36367000.0,39.87667,6.1698127,0.96398526,29.53807,33.14929,62.250614,10.666667,33.263332,98.47133
Finland,FIN,2023,31622000.0,35.44504,6.262743,1.7474147,36.690666,37.074112,83.67805,11.632222,25.061823,89.03502
France,FRA,2013,358702820.0,19.052814,30.106844,12.107791,41.911392,181.18236,1083.5925,451.43155,146.10484,919.24506
France,FRA,2014,326842370.0,20.569696,32.464577,15.047017,44.775223,159.86955,1110.6335,379.08353,107.207726,889.4258
France,FRA,2015,331490200.0,22.232635,32.747875,18.387758,55.135643,138.11888,1107.4121,407.51764,102.279854,902.6557
France,FRA,2016,334199870.0,24.103254,32.946053,20.514935,54.612026,150.56137,1013.054,445.29938,99.513885,887.9983
France,FRA,2017,337101440.0,25.770441,33.203514,22.756565,62.5897,122.41113,995.8978,447.65698,109.046196,901.5271
France,FRA,2018,321939700.0,26.973051,32.82589,25.691395,72.39513,158.99445,1027.2184,428.38385,100.20472,879.65137
France,FRA,2019,315015330.0,27.386385,34.181557,28.831406,87.400475,138.68245,987.6524,436.62042,79.423065,872.39764
France,FRA,2020,280490020.0,27.53901,24.973543,31.397997,100.10766,152.35506,873.6614,405.8284,55.982357,735.704
France,FRA,2021,305607230.0,28.878078,28.495493,36.651684,92.33443,144.4657,934.38745,430.41394,75.107765,790.98364
France,FRA,2022,293501630.0,30.251163,30.995548,47.03694,95.48204,108.77191,724.1549,386.44025,64.40096,789.4553
France,FRA,2023,272475840.0,29.731947,32.644886,51.981388,125.35705,135.90408,824.8836,340.55658,49.21294,777.0767
Germany,DEU,2013,831742850.0,142.47588,31.311945,78.314575,134.87724,58.818413,248.82353,849.74335,963.3986,1334.2625
Germany,DEU,2014,792578750.0,151.20671,32.831333,90.19848,148.84734,49.839695,247.14757,738.9503,925.89496,1298.318
Germany,DEU,2015,800844500.0,157.68593,30.778166,96.394936,204.11139,48.043034,232.37039,769.5361,915.0558,1296.5422
Germany,DEU,2016,798013630.0,159.69846,30.850645,94.36181,200.81407,51.623116,212.64917,848.8475,889.93506,1321.8785
Germany,DEU,2017,784593860.0,159.62642,31.384161,96.902504,264.23248,50.375,190.811,877.38477,835.9297,1408.9285
Germany,DEU,2018,760046340.0,159.28615,32.717903,110.24876,273.50995,44.01244,189.06667,858.5072,806.69,1336.97
Germany,DEU,2019,709826700.0,157.2613,32.16014,111.93317,311.6188,48.83911,185.81989,892.8303,624.2178,1351.0276
Germany,DEU,2020,648356860.0,159.87912,39.271008,122.21234,326.1778,45.239506,158.96889,871.075,514.8666,1223.2377
Germany,DEU,2021,678777300.0,157.20154,34.888226,121.5271,282.38177,48.417282,170.27205,917.38025,621.9345,1209.7521
Germany,DEU,2022,671471550.0,162.19562,34.94109,148.16708,306.67322,43.302635,85.28075,755.8128,641.7603,1241.9773
Germany,DEU,2023,596151360.0,154.91006,36.03205,155.78781,345.76587,48.525314,17.599112,727.9709,487.4227,1165.5121
Greece,GRC,2013,81713256.0,0.6762781,1.6160794,9.330182,10.586025,16.232534,0.0,41.45214,81.26121,164.7616
Greece,GRC,2014,78635700.0,0.6864406,1.7575005,9.6485615,9.385687,11.395222,0.0,31.60299,78.098015,163.353
Greece,GRC,2015,74926660.0,0.7232063,1.8500055,9.872496,11.698782,15.438466,0.0,34.126534,65.4408,170.19884
Greece,GRC,2016,71359600.0,0.85696876,1.9322205,9.873658,12.929387,13.926226,0.0,44.420002,50.692112,169.93929
Greece,GRC,2017,74841750.0,0.96883744,1.9409436,9.978692,13.842467,9.906367,0.0,53.57,55.779747,174.01346
Greece,GRC,2018,71778104.0,0.9814687,1.9556248,9.429482,15.672286,14.287183,0.0,52.451,54.774906,171.98833
Greece,GRC,2019,65736276.0,1.2563344,2.2568612,10.9616585,17.986006,9.899995,0.0,57.583,37.175343,177.21858
