Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Austria,AUT,2013,65.97646
Austria,AUT,2014,64.98331
Austria,AUT,2015,66.94842
Austria,AUT,2016,65.973564
Austria,AUT,2017,66.787315
Austria,AUT,2018,66.860794
Austria,AUT,2019,65.81051
Austria,AUT,2020,63.120064
Austria,AUT,2021,65.36188
Austria,AUT,2022,64.86591
Austria,AUT,2023,59.977875
Azerbaijan,AZE,2013,97.38764
Azerbaijan,AZE,2014,97.71226
Azerbaijan,AZE,2015,97.404366
Azerbaijan,AZE,2016,96.855255
Azerbaijan,AZE,2017,97.13163
Azerbaijan,AZE,2018,97.18255
Azerbaijan,AZE,2019,97.54879
Azerbaijan,AZE,2020,98.20956
Azerbaijan,AZE,2021,98.069664
Azerbaijan,AZE,2022,97.81175
Azerbaijan,AZE,2023,97.70576
Belarus,BLR,2013,99.69478
Belarus,BLR,2014,99.70474
Belarus,BLR,2015,99.65444
Belarus,BLR,2016,99.59493
Belarus,BLR,2017,99.27384
Belarus,BLR,2018,99.403984
Belarus,BLR,2019,99.27724
Belarus,BLR,2020,98.76523
Belarus,BLR,2021,94.33471
Belarus,BLR,2022,95.05513
Belarus,BLR,2023,89.51943
Belgium,BEL,2013,79.094955
Belgium,BEL,2014,80.81599
Belgium,BEL,2015,83.34855
Belgium,BEL,2016,78.22945
Belgium,BEL,2017,78.34932
Belgium,BEL,2018,82.72635
Belgium,BEL,2019,77.53992
Belgium,BEL,2020,76.640114
Belgium,BEL,2021,73.881996
Belgium,BEL,2022,73.92169
Belgium,BEL,2023,75.39484
Bulgaria,BGR,2013,71.82836
Bulgaria,BGR,2014,71.09289
Bulgaria,BGR,2015,71.70878
Bulgaria,BGR,2016,71.85328
Bulgaria,BGR,2017,73.96663
Bulgaria,BGR,2018,69.38864
Bulgaria,BGR,2019,70.07096
Bulgaria,BGR,2020,67.66351
Bulgaria,BGR,2021,68.28785
Bulgaria,BGR,2022,70.186455
Bulgaria,BGR,2023,65.47863
Croatia,HRV,2013,74.44056
Croatia,HRV,2014,72.750946
Croatia,HRV,2015,78.349396
Croatia,HRV,2016,77.20554
Croatia,HRV,2017,80.65425
