Entity,Code,Year,Fossil fuels - % electricity
Albania,ALB,2013,0.0
Albania,ALB,2014,0.0
Albania,ALB,2015,0.0
Albania,ALB,2016,0.0
Albania,ALB,2017,0.0
Albania,ALB,2018,0.0
Albania,ALB,2019,0.0
Albania,ALB,2020,0.0
Albania,ALB,2021,0.0
Albania,ALB,2022,0.0
Albania,ALB,2023,0.0
Armenia,ARM,2013,42.3231
Armenia,ARM,2014,43.6919
Armenia,ARM,2015,37.08609
Armenia,ARM,2016,36.338028
Armenia,ARM,2017,38.11421
Armenia,ARM,2018,44.53228
Armenia,ARM,2019,40.720963
Armenia,ARM,2020,41.49215
Armenia,ARM,2021,43.782387
Armenia,ARM,2022,39.271255
Armenia,ARM,2023,43.005783
Austria,AUT,2013,21.766071
Austria,AUT,2014,18.440292
Austria,AUT,2015,22.968597
Austria,AUT,2016,21.2579
Austria,AUT,2017,23.908186
Austria,AUT,2018,22.59162
Austria,AUT,2019,22.704765
Austria,AUT,2020,19.727694
Austria,AUT,2021,20.850174
Austria,AUT,2022,21.841574
Austria,AUT,2023,15.286804
Azerbaijan,AZE,2013,93.29032
Azerbaijan,AZE,2014,94.43768
Azerbaijan,AZE,2015,93.0403
Azerbaijan,AZE,2016,91.58954
Azerbaijan,AZE,2017,92.23782
Azerbaijan,AZE,2018,92.24036
Azerbaijan,AZE,2019,93.10212
Azerbaijan,AZE,2020,94.87379
Azerbaijan,AZE,2021,94.5304
Azerbaijan,AZE,2022,93.64202
Azerbaijan,AZE,2023,93.468544
Belarus,BLR,2013,99.04792
Belarus,BLR,2014,99.16522
Belarus,BLR,2015,99.00264
Belarus,BLR,2016,98.71909
Belarus,BLR,2017,97.73979
Belarus,BLR,2018,97.92254
Belarus,BLR,2019,97.42956
Belarus,BLR,2020,95.61494
Belarus,BLR,2021,82.909096
Belarus,BLR,2022,84.02367
Belarus,BLR,2023,70.00918
Belgium,BEL,2013,33.66687
Belgium,BEL,2014,35.519665
Belgium,BEL,2015,40.756977
Belgium,BEL,2016,31.479067
Belgium,BEL,2017,32.001408
Belgium,BEL,2018,38.053337
Belgium,BEL,2019,32.063866
Belgium,BEL,2020,34.44331
Belgium,BEL,2021,26.481537
Belgium,BEL,2022,27.584013
Belgium,BEL,2023,26.496351
Bosnia and Herzegovina,BIH,2013,58.028988
Bosnia and Herzegovina,BIH,2014,65.12038
Bosnia and Herzegovina,BIH,2015,66.22033
Bosnia and Herzegovina,BIH,2016,68.32299
Bosnia and Herzegovina,BIH,2017,76.47784
Bosnia and Herzegovina,BIH,2018,65.65286
Bosnia and Herzegovina,BIH,2019,63.318024
Bosnia and Herzegovina,BIH,2020,70.81596
Bosnia and Herzegovina,BIH,2021,60.999454
Bosnia and Herzegovina,BIH,2022,67.951065
Bosnia and Herzegovina,BIH,2023,60.81802
Bulgaria,BGR,2013,50.999535
Bulgaria,BGR,2014,50.426258
Bulgaria,BGR,2015,50.461918
Bulgaria,BGR,2016,48.753647
Bulgaria,BGR,2017,51.65031
Bulgaria,BGR,2018,45.15158
Bulgaria,BGR,2019,44.99085
Bulgaria,BGR,2020,39.960144
Bulgaria,BGR,2021,43.24439
Bulgaria,BGR,2022,48.110584
Bulgaria,BGR,2023,34.579903
Croatia,HRV,2013,33.42898
Croatia,HRV,2014,25.986597
Croatia,HRV,2015,33.096085
Croatia,HRV,2016,33.65079
Croatia,HRV,2017,39.50722
Croatia,HRV,2018,27.662722
Croatia,HRV,2019,33.992096
Croatia,HRV,2020,35.37415
Croatia,HRV,2021,30.311052
Croatia,HRV,2022,36.524822
Croatia,HRV,2023,30.237959
Cyprus,CYP,2013,92.30769
Cyprus,CYP,2014,92.85715
Cyprus,CYP,2015,91.18942
Cyprus,CYP,2016,91.20655
Cyprus,CYP,2017,91.4
Cyprus,CYP,2018,90.51383
Cyprus,CYP,2019,89.902916
Cyprus,CYP,2020,87.62887
Cyprus,CYP,2021,84.76563
Cyprus,CYP,2022,83.26996
Cyprus,CYP,2023,79.849335
Czechia,CZE,2013,53.381443
Czechia,CZE,2014,53.51847
Czechia,CZE,2015,56.055283
Czechia,CZE,2016,59.158535
Czechia,CZE,2017,55.72528
Czechia,CZE,2018,54.686783
Czechia,CZE,2019,52.9748
Czechia,CZE,2020,49.588017
Czechia,CZE,2021,50.549843
Czechia,CZE,2022,50.08957
Czechia,CZE,2023,45.178738
Denmark,DNK,2013,53.886158
Denmark,DNK,2014,43.851437
Denmark,DNK,2015,34.22516
Denmark,DNK,2016,39.50658
Denmark,DNK,2017,29.44984
Denmark,DNK,2018,31.314135
Denmark,DNK,2019,21.45046
Denmark,DNK,2020,17.949615
