country_code,country,year,emission,Fossil_Fuel_Share,Bioenergy,Charcoal,Fossil_energy,Geothermal,Hydro,Nuclear,Renewables_Biofuels,Solar_Photovoltaic,Wave_Ocean,Wind
AUT,Austria,2004,64966.51836,79.79,3070.444,9.625,25910.274,27.634,3160.975,0,6418.072,1.585,0,80.278
AUT,Austria,2005,65468.82495,78.49,3681.282,7.723,26413.993,29.767,3189.608,0,7174.444,1.807,0,114.469
AUT,Austria,2006,62644.62675,76.22,4291.775,8.76,25944.981,35.386,3065.871,0,7703.902,1.925,0,150.713
AUT,Austria,2007,59214.83104,74.15,4725.016,7.818,24722.245,31.857,3186.109,0,8294.701,2.084,0,175.166
AUT,Austria,2008,58267.43997,73.62,4934.503,8.912,24706.616,33.077,3295.743,0,8648.22,2.59,0,172.937
AUT,Austria,2009,55139.93135,71.76,5169.141,7.295,22808.365,33.552,3516.449,0,9148.828,4.206,0,168.017
AUT,Austria,2010,57955.47132,72.18,5653.85,7.988,24538.586,34.54,3298.66,0,9478.543,7.637,0,177.465
AUT,Austria,2011,55686.90355,71.14,5610.018,7.403,23582.871,32.564,2943.867,0,9057.289,14.967,0,166.483
AUT,Austria,2012,53517.43558,68.8,5885.195,8.465,22571.528,36.447,3770.223,0,10282.138,29.018,0,211.768
AUT,Austria,2013,53693.17662,68.18,5912.463,8.087,22734.291,36.479,3612.788,0,10232.191,53.824,0,271.06
AUT,Austria,2014,50043.14809,67,5753.4,7.726,21539.967,31.505,3525.988,0,10067.397,67.519,0,330.669
AUT,Austria,2015,51811.39235,67.65,5942.026,9.846,22302.143,34.85,3194.915,0,10044.649,80.576,0,416.193
AUT,Austria,2016,53027.85447,67.96,5907.136,9.905,22596.148,35.205,3436.916,0,10339.992,94.24,0,450.115
AUT,Austria,2017,54698.3624,68.55,5930.346,8.759,23247.817,40.595,3292.67,0,10384.339,109.112,0,565.048
AUT,Austria,2018,53341.55334,68.31,5632.386,9.88,22567.921,38.891,3236.278,0,10010.942,125.119,0,518.524
AUT,Austria,2019,53741.39736,69.24,5571.254,10.213,23155.765,33.984,3510.402,0,10427.475,146.354,0,640.591
AUT,Austria,2020,48846.49226,66.96,5526.829,10.332,21357.229,36.413,3611.181,0,10497.608,175.661,0,583.966
AUT,Austria,2021,50670.88529,66.42,6081.702,10.483,22435.777,36.636,3343.913,0,10842.546,238.513,0,579.539
AUT,Austria,2022,47165.79311,65.76,5845.09,7.856,20965.436,41.479,2977.224,0,10412.254,325.237,0,622.67
AUT,Austria,2023,43233.01507,64.35,5774.494,7.408,19460.472,35.521,3497.217,0,11275.318,549.855,0,691.032
BEL,Belgium,2004,106207.94306,79.28,935.832,6.553,44759.477,2.603,27.257,12204.299,972.368,0.057,0,12.21
BEL,Belgium,2005,104153.65745,78.83,1127.209,11.555,44180.926,3.105,24.764,12277.3,1167.351,0.115,0,19.518
BEL,Belgium,2006,102385.21158,78.4,1322.492,4.298,43310.036,3.63,30.868,12032.244,1368.917,0.14,0,31.47
BEL,Belgium,2007,100198.51921,77.86,1532.501,8.385,41733.255,2.986,33.448,12440.327,1599.086,0.521,0,42.218
BEL,Belgium,2008,99735.21602,78.54,1853.355,16.417,43620.236,3.463,35.254,11754.428,1920.325,3.559,0,54.772
BEL,Belgium,2009,93174.19995,77.82,2137.173,25.365,41172.432,4.06,28.203,11853.287,2287.268,14.274,0,85.641
BEL,Belgium,2010,97615.11225,78.22,2755.461,13.176,44444.711,3.568,26.827,11608.853,2978.56,50.206,0,111.427
BEL,Belgium,2011,88290.84408,76.15,2649.555,23.322,40138.455,2.157,16.853,11700.611,2997.737,104.239,0,199.355
BEL,Belgium,2012,87394.78362,76.38,2951.98,10.287,39048.046,2.329,30.696,9765.313,3396.474,185.185,0,237.257
BEL,Belgium,2013,87198.29778,75.91,3040.329,19.588,40393.34,2.663,32.674,10336.494,3620.658,226.999,0,315.133
BEL,Belgium,2014,81373.47614,77.19,2816.874,16.135,39355.637,2.594,25.125,8176.237,3460.599,248.186,0,396.844
BEL,Belgium,2015,85428.37588,79.63,3032.367,18.742,40826.994,2.775,27.377,6283.178,3736.898,262.812,0,479.278
BEL,Belgium,2016,83660.72575,75.52,3154.013,24.097,39750.544,2.9,31.814,10588.967,3975.963,266.156,0,465.993
BEL,Belgium,2017,83216.1697,76.04,3199.007,28.113,39692.831,2.802,23.224,10299.71,4135.436,284.437,0,560.679
BEL,Belgium,2018,83804.10295,79.65,3217.835,14.092,40552.21,2.9,25.133,6960.862,4244.873,335.644,0,651.255
BEL,Belgium,2019,84131.01433,76.46,3011.144,17.474,39218.714,3.098,25.881,10593.545,4392.451,365.64,0,838.813
BEL,Belgium,2020,76580.4111,76.49,3199.536,18.813,36641.282,3.227,22.949,8371.015,4926.555,439.612,0,1102.201
BEL,Belgium,2021,79651.37903,73.62,3329.274,29.945,38140.089,3.664,35.95,12223.218,5125.023,483.465,0,1031.608
BEL,Belgium,2022,74696.91698,73.89,3334.722,25.859,34710.677,3.325,23.31,10697.551,5308.326,591.47,0,1062.132
BEL,Belgium,2023,71487.60758,75.41,3156.399,17.404,33625.426,3.743,34.961,7925.203,5492.189,672.399,0,1327.936
